Section,Title,Description,Example Queries,Keywords,LawType,Domain,Intent
Factories Act 1948 Section 13,Ventilation and Temperature,Ensures proper air circulation and safe temperature in workplace,"Is employer required to control factory temperature?;What are ventilation rules in factories?;Can workers complain about heat in factory?;Workplace air quality law India","factory ventilation requirements India;temperature control workplace law;industrial air quality rules;heat safety factory law India;occupational environment safety",Factories Act,Workplace Safety,Right
Factories Act 1948 Section 21,Fencing of Machinery,Requires dangerous machines to be properly guarded to prevent accidents,"What safety guards are required in factories?;Can employer leave machines unprotected?;Factory machine accident law India;What if worker injured by machine?","machine safety rules India;factory guard requirements;industrial accident prevention law;machine fencing legal requirement;workplace injury machinery",Factories Act,Workplace Safety,Right
Factories Act 1948 Section 51,Weekly Working Hours,Limits working hours of adult workers to 48 hours per week,"Can employer force more than 48 hours weekly?;What is legal weekly work limit in India?;Is 6 day work week legal?;Maximum working hours per week factory law","maximum 48 hours per week India;weekly working limit factory act;overtime weekly rules India;labour working hours restriction;employee weekly shift law",Factories Act,Working Hours,Right
Factories Act 1948 Section 54,Daily Working Hours,Restricts daily working hours of workers to 9 hours per day,"Can I work more than 9 hours per day?;Is 10 hour shift legal in India?;Daily working limit factory law;Employer forcing long shifts legal?","9 hours per day limit India;daily shift restriction factory act;maximum daily working hours India;illegal long shift law India;worker daily hour protection",Factories Act,Working Hours,Right
Factories Act 1948 Section 59,Overtime Wages,Requires payment of double wages for overtime work,"How is overtime calculated in India?;What is overtime pay rate?;Can employer avoid paying overtime?;Is double wage mandatory for extra hours?","overtime double wages India;extra hours salary law;factory overtime payment rules;labour overtime compensation India;wage for extra shift law",Factories Act,Wages,Right
Minimum Wages Act 1948 Section 3,Fixing Minimum Wages,Empowers government to set minimum wages for workers,"What is minimum wage in India?;Who decides salary minimum limit?;Can company pay below minimum wage?;State wise minimum wage rules India","minimum wage India law;government wage fixation;lowest legal salary India;labour wage standards India;minimum pay requirement",Minimum Wages Act,Wages,Right
Minimum Wages Act 1948 Section 12,Payment of Minimum Wages,Ensures employers pay at least minimum fixed wages,"What if employer pays below minimum wage?;Can I file complaint for low salary?;Minimum wage violation penalty India;Salary underpayment law India","wage violation India penalty;minimum salary enforcement India;underpayment complaint labour law;employee wage protection India;illegal low salary rules",Minimum Wages Act,Wages,Remedy
Minimum Wages Act 1948 Section 22,Penalties for Offences,Provides penalties for violating minimum wage rules,"What is punishment for paying low wages?;Can employer be fined for wage violation?;Minimum wage penalty law India","minimum wage penalty India;salary violation fine law;labour wage offence punishment;employer liability wage breach;underpayment legal penalty",Minimum Wages Act,Wages,Penalty
Industrial Disputes Act 1947 Section 2,Definitions,"Defines key legal concepts such as industrial dispute, workman, and industry under Indian labour law, specifically focusing on disputes between employers and workers in industrial establishments","What exactly is an industrial dispute between company and workers?;Who qualifies as a workman under Industrial Disputes Act?;Does every employee count as workman under labour law?;What types of conflicts come under industrial dispute law?;Can a manager raise industrial dispute?","industrial dispute definition India labour law;workman meaning under IDA 1947;industry definition labour law India scope;employer employee dispute law India;labour dispute vs service dispute India",Industrial Disputes Act,Industrial Relations,Definition
Industrial Disputes Act 1947 Section 10,Reference of Disputes,Allows government to refer disputes to labour courts or tribunals,"How to file labour court case in India?;Who sends dispute to tribunal?;Industrial dispute resolution process India","labour court referral process India;industrial dispute tribunal rules;employee grievance court India;government dispute reference law;labour case filing India",Industrial Disputes Act,Industrial Relations,Remedy
Industrial Disputes Act 1947 Section 25F,Retrenchment Conditions,Defines rules for employee retrenchment and compensation,"Can company fire without notice?;What is retrenchment law India?;Layoff compensation rules India;Employee termination rights","retrenchment law India notice compensation;job termination rules India;layoff employee rights India;industrial dismissal law;job security protection India",Industrial Disputes Act,Employment Protection,Right
Industrial Disputes Act 1947 Section 33,Conditions During Dispute,Restricts employer from changing job conditions during ongoing disputes,"Can salary be changed during labour case?;Can company fire employee during dispute?;Worker protection during case pending","labour dispute protection India;pending case employment rules;industrial relations restriction law;employee safeguard during dispute;job condition change ban India",Industrial Disputes Act,Employment Protection,Restriction
Environment Protection Act 1986 Section 2,Definitions,"Defines key terms like environment, pollutant, and hazardous substance under the Act","What is environment under Indian law?;What is considered pollution legally?;What is hazardous substance in environmental law?;Meaning of pollutant under EPA?","environment definition India EPA;pollutant legal meaning India;hazardous substance definition India;what is pollution under Environment Protection Act;environment law basic terms India",Environment Protection Act,Environmental Regulation,Definition
Environment Protection Act 1986 Section 3,Power of Central Government,Empowers government to take measures for environmental protection and pollution control,"Who controls pollution laws in India?;Can government shut down polluting factories?;What powers does environment ministry have?;Who enforces pollution rules India?","central pollution control authority India powers;environment ministry authority India;pollution control enforcement India EPA;government power environmental regulation India;factory shutdown pollution law India",Environment Protection Act,Environmental Regulation,Compliance
Environment Protection Act 1986 Section 7,Prohibition of Pollution,Prohibits discharge of pollutants beyond prescribed environmental limits,"Is it illegal to release factory waste into river?;What happens if industry pollutes air?;Can companies dump chemicals legally?;Environmental pollution punishment India","illegal pollution discharge India law;factory waste river pollution penalty;air pollution legal limits India EPA;environment violation punishment India;industrial pollution control rules",Environment Protection Act,Pollution Control,Right
Environment Protection Act 1986 Section 15,Penalties for Violation,Provides punishment for violating environmental laws including fines and imprisonment,"What is punishment for pollution in India?;Can company go to jail for environmental damage?;Penalty for violating EPA rules?;Illegal dumping fine India","environmental penalty India law;pollution fine imprisonment India;EPA violation punishment;industrial pollution jail India law;environment law offence penalty",Environment Protection Act,Pollution Control,Penalty
Environment Protection Act 1986 Section 19,Citizen Complaint,Allows citizens to file complaints against environmental violations,"Can I report pollution factory in India?;How to complain about environmental damage?;Can public sue for pollution?;Environmental complaint process India","environment complaint India public;pollution reporting system India EPA;citizen environmental rights India;how to report factory pollution India;legal action environmental damage India",Environment Protection Act,Environmental Rights,Remedy
Wildlife Protection Act 1972 Section 9,Prohibition of Hunting,Prohibits hunting of wild animals except under specific legal exceptions,"Is hunting animals illegal in India?;Can I kill wild animals for protection?;What animals are protected by law?;Wildlife hunting rules India","illegal hunting India wildlife law;animal protection India act;wild animal killing punishment India;protected species law India;wildlife conservation hunting ban",Wildlife Protection Act,Wildlife Conservation,Right
Wildlife Protection Act 1972 Section 11,Permit for Hunting in Special Cases,Allows hunting only under strict government permission for specific cases,"When is hunting allowed in India?;Can government allow animal killing?;Wildlife permit hunting rules India;Is killing dangerous animal legal?","wildlife hunting permit India law;government permission animal control India;special case hunting wildlife act;dangerous animal control law India;wildlife exception rules",Wildlife Protection Act,Wildlife Regulation,Exception
Wildlife Protection Act 1972 Section 39,Wild Animal Ownership,Declares wild animals as government property and prohibits private ownership,"Can I keep wild animal as pet in India?;Who owns wildlife in India?;Is it legal to buy tiger skin?;Wild animal possession law India","wild animal ownership law India;illegal wildlife possession India act;government property wildlife India;animal trade ban India wildlife;protected animal ownership rules",Wildlife Protection Act,Wildlife Protection,Restriction
Wildlife Protection Act 1972 Section 50,Search and Seizure Powers,Allows authorities to search and seize illegal wildlife products and enforce law,"Can forest officers search my house?;What happens if I have wildlife products?;Is animal smuggling illegal India?;Wildlife enforcement powers India","wildlife seizure law India enforcement;illegal animal trade punishment India;forest officer search power India;wildlife trafficking law India;animal product ban India enforcement",Wildlife Protection Act,Enforcement,Compliance
Wildlife Protection Act 1972 Section 51,Penalties for Offences,"Provides strict penalties for hunting, trading, or harming wildlife","What is punishment for killing endangered animals?;Can I go to jail for animal smuggling?;Wildlife crime penalty India law","wildlife crime penalty India;animal poaching punishment India;endangered species protection law India;jail for wildlife trafficking India;illegal hunting fine India",Wildlife Protection Act,Wildlife Crime,Penalty
Environmental Impact Assessment Rules 2006,Environmental Clearance,Requires environmental impact assessment before starting large projects,"Do I need approval to build factory?;What is environmental clearance in India?;Before starting project what permissions needed?;EIA process India rules","environmental clearance India project;EIA approval process India;factory setup environmental permission India;impact assessment law India;construction pollution approval rules",Environmental Law,Environmental Compliance,Compliance
Environmental Impact Assessment Rules 2006,Public Hearing Requirement,Mandates public consultation before approving major industrial projects,"Can public stop factory construction?;What is public hearing in environmental clearance?;Do people get say in industrial projects?;EIA public consultation India","public hearing environment law India;community consultation project approval India;environmental clearance public process;factory approval citizen input India;EIA community rights India",Environmental Law,Public Participation,Right
Environmental Impact Assessment Rules 2006,Environmental Assessment Report,Requires detailed study of environmental impact before project approval,"What is EIA report?;Who prepares environmental impact report?;Why is environmental study required before factory?;Project environmental study India","environmental impact assessment report India;EIA study requirement India;project pollution analysis report;environmental study construction India;industrial impact report law",Environmental Law,Environmental Planning,Compliance
Patents Act 1970 Section 2,Definitions,"Defines key concepts like invention, patentee, and patent under Indian patent law","What is a patent in India?;What is considered an invention legally?;Who is a patentee?;What can be patented in India?","patent definition India;what is invention patent law;patentee meaning India;patentable subject matter India;basic patent terms India",Patents Act,Patent Protection,Definition
Patents Act 1970 Section 3,Non-Patentable Inventions,"Lists what cannot be patented like abstract ideas, algorithms, and natural discoveries","Can software be patented in India?;Are algorithms patentable?;What cannot be patented in India?;Why are scientific discoveries not patentable?","non patentable inventions India;software patent rules India;algorithm patent law India;excluded inventions patent act;what cannot be patented India",Patents Act,Patent Protection,Restriction
Patents Act 1970 Section 48,Rights of Patentee,"Gives exclusive rights to prevent others from making, using, or selling patented invention","What rights does a patent give?;Can someone copy my patented product?;How long is patent protection in India?;Patent owner rights India","patent rights exclusive India;patentee protection law India;invention ownership rights India;patent infringement rights India;exclusive commercial rights patent",Patents Act,Patent Enforcement,Right
Patents Act 1970 Section 104,Patent Infringement,Defines unauthorized use of patented invention as infringement,"What is patent infringement?;Can I get sued for copying invention?;What happens if someone uses my patent?;Patent violation penalty India","patent infringement India law;copying invention legal consequences;unauthorized patent use India;patent lawsuit India;intellectual property violation patent",Patents Act,Enforcement,Penalty
Patents Act 1970 Section 107,Defences in Patent Cases,Allows legal defences such as research use or prior publication,"Can I use patented product for research?;What are defences in patent case?;Is educational use allowed in patents?;Patent lawsuit defence India","patent defence India law;research exemption patent India;prior art defence patent;legal protection patent dispute;fair use patent India",Patents Act,Patent Litigation,Exception
Copyright Act 1957 Section 13,Works Protected by Copyright,"Defines types of protected works like literary, artistic, musical, and software","What is protected by copyright?;Is software protected under copyright?;Can I copy books legally?;What works are covered by copyright?","copyright protected works India;literary artistic musical copyright India;software copyright protection India;what is copyright coverage India;intellectual property creative works",Copyright Act,Creative Protection,Definition
Copyright Act 1957 Section 14,Meaning of Copyright,"Grants exclusive rights like reproduction, distribution, and adaptation","What rights does copyright give?;Can I reproduce copyrighted content?;Who owns copyright of a book?;Copyright ownership rights India","copyright rights India law;reproduction distribution rights copyright;author rights copyright India;content ownership legal India;intellectual property rights creative",Copyright Act,Creative Rights,Right
Copyright Act 1957 Section 51,Copyright Infringement,Defines unauthorized use or copying of copyrighted work,"Is downloading movies illegal in India?;What is copyright violation?;Can I use images from Google?;What happens if I copy music?","copyright infringement India law;illegal content copying India;piracy law India punishment;unauthorized use creative content;movie music piracy law India",Copyright Act,Enforcement,Penalty
Copyright Act 1957 Section 52,Fair Use Exceptions,"Allows limited use for education, research, criticism, and news reporting","Can I use copyrighted content for study?;What is fair use in India?;Is copying for education allowed?;Can I quote book legally?","fair use India copyright;educational use copyright exception;research exemption copyright India;legal content usage India;quotation copyright law India",Copyright Act,Exceptions,Right
Trade Marks Act 1999 Section 2,Definitions,"Defines trademark, registered mark, and goods/services classification","What is a trademark in India?;What can be registered as trademark?;Meaning of registered trademark?;What is brand protection law?","trademark definition India;brand protection law India;registered mark meaning India;logo trademark rules India;intellectual property brand law",Trademark Act,Brand Protection,Definition
Trade Marks Act 1999 Section 9,Absolute Grounds for Refusal,Specifies marks that cannot be registered like generic or misleading terms,"Can generic words be trademarked?;Why was my trademark rejected?;What names cannot be registered?;Trademark rejection rules India","trademark rejection India law;non registrable marks India;generic trademark rules India;brand name refusal law India;absolute grounds trademark refusal",Trademark Act,Registration Rules,Restriction
Trade Marks Act 1999 Section 29,Trademark Infringement,Protects against unauthorized use of registered trademarks,"Is copying logo illegal?;What is trademark infringement?;Can I use similar brand name?;Brand name copying punishment India","trademark infringement India law;logo copying legal India;brand name violation India;unauthorized brand use India;consumer confusion trademark law",Trademark Act,Brand Enforcement,Penalty
Trade Marks Act 1999 Section 34,Prior User Rights,Gives protection to earlier users even if trademark is not registered,"Who has priority in trademark India?;Can unregistered brand be protected?;What is prior user rights?;Trademark ownership conflict India","prior user trademark India law;unregistered brand protection India;first use trademark rights India;brand ownership dispute India;common law trademark India",Trademark Act,Brand Dispute,Right
Trade Marks Act 1999 Section 47,Removal of Trademark,Allows removal of registered trademark if not used for a continuous period,"Can trademark be cancelled?;What happens if brand is not used?;Trademark removal rules India;Inactive trademark cancellation India","trademark cancellation India law;non use trademark removal India;brand deletion rules India;inactive trademark legal process;IPR brand removal law",Trademark Act,Registration Control,Penalty
Information Technology Act 2000 Section 2,Definitions,"Defines key terms like computer system, data, and electronic record under cyber law","What is electronic record in cyber law?;What is computer system under IT Act?;Meaning of data in cyber law India?;Basic definitions in IT Act","cyber law definitions India IT Act;electronic record meaning India;computer system legal definition India;data definition IT law India;basic cyber law terms India",Information Technology Act,Cyber Regulation,Definition
Information Technology Act 2000 Section 43,Damage to Computer Systems,"Deals with unauthorized access, data theft, and damage to computer systems","Is hacking illegal in India?;What happens if someone steals data?;Can I be punished for accessing someone’s system?;Cyber damage punishment India","hacking punishment India IT Act;unauthorized access computer law India;data theft legal India cyber law;system damage cyber crime India;computer misuse law India",Information Technology Act,Cyber Crime,Hacking
Information Technology Act 2000 Section 66,Hacking and Computer Offences,Defines hacking and punishment for unauthorized system intrusion,"What is hacking under Indian law?;Is breaking into email account illegal?;What is punishment for cyber hacking?;Cyber crime jail India hacking","hacking law India IT Act;email hacking punishment India;cyber intrusion crime India;illegal system access law India;computer hacking offence India",Information Technology Act,Cyber Crime,Penalty
Information Technology Act 2000 Section 66C,Identity Theft,"Criminalizes stealing personal identity like passwords, Aadhaar misuse, or account impersonation","What is identity theft in cyber law?;Can someone use my Aadhaar illegally?;Is password theft a crime?;Online identity fraud punishment India","identity theft India cyber law;password stealing legal punishment India;Aadhaar misuse cyber crime India;online impersonation law India;digital identity fraud India",Information Technology Act,Cyber Crime,Penalty
Information Technology Act 2000 Section 66D,Online Cheating by Impersonation,Punishes cheating using computer resources or fake online identities,"Is online scam illegal in India?;What is cyber fraud by impersonation?;Can fake profile be punished?;Online cheating case India law","online fraud India cyber law;fake profile punishment India;cyber impersonation scam India;internet cheating law India;digital fraud offence India",Information Technology Act,Cyber Crime,Fraud
Information Technology Act 2000 Section 66F,Cyber Terrorism,Defines and punishes acts threatening national security through digital means,"What is cyber terrorism?;Can hacking government websites be terrorism?;Punishment for cyber attack on India?;National security cyber crime law India","cyber terrorism India law;government hacking punishment India;digital attack national security India;IT Act terrorism section India;critical infrastructure cyber attack India",Information Technology Act,National Security,Penalty
Information Technology Act 2000 Section 67,Obscene Content Online,Prohibits publishing or transmitting obscene or sexually explicit content online,"Is uploading obscene content illegal?;What is punishment for porn content upload India?;Can I share adult videos online?;Cyber obscenity law India","online obscenity law India IT Act;illegal content upload punishment India;cyber pornography rules India;digital explicit content law India;social media obscenity India",Information Technology Act,Content Regulation,Penalty
Information Technology Act 2000 Section 72,Data Privacy Breach,Protects personal data from unauthorized disclosure by authorized persons,"Can company share my data without permission?;What is data privacy violation India?;Is leaking personal information illegal?;Confidential data breach law India","data privacy breach India IT Act;personal data leakage punishment India;confidential information cyber law India;unauthorized data sharing India;privacy violation law India",Information Technology Act,Data Protection,Right
Information Technology Act 2000 Section 43A,Compensation for Data Security Failure,Requires companies to protect sensitive data and pay compensation if they fail,"What happens if company leaks my data?;Can I get compensation for data breach?;Is company responsible for cyber attack losses?;Data protection law India IT Act","data breach compensation India law;company liability cyber attack India;IT Act data protection rules India;cyber security negligence law India;user data protection India",Information Technology Act,Data Protection,Remedy
Information Technology Act 2000 Section 69,Government Surveillance Powers,Allows government to intercept or monitor digital communication for security,"Can government read my WhatsApp messages?;Is online surveillance legal India?;Who can monitor internet activity?;Cyber monitoring law India","government surveillance India cyber law;internet monitoring legal India;data interception law India IT Act;digital communication monitoring India;cyber security surveillance rules India",Information Technology Act,National Security,Compliance
Information Technology Act 2000 Section 79,Intermediary Liability,Protects platforms like social media from liability under certain conditions,"Is Instagram responsible for posts?;Can YouTube be sued for content?;What is intermediary liability?;Social media legal responsibility India","intermediary liability India IT Act;social media responsibility law India;platform content protection India;safe harbor cyber law India;internet company liability India",Information Technology Act,Platform Regulation,Protection
Information Technology Act 2000 Section 85,Corporate Liability,Defines responsibility of companies for cyber crimes committed by employees,"Can company be punished for employee hacking?;Corporate cyber crime liability India;Who is responsible in data breach company or employee?;IT Act company responsibility","corporate cyber liability India IT Act;company responsibility data breach India;employee cyber crime company law India;organizational cyber offence India;IT compliance corporate India",Information Technology Act,Corporate Liability,Penalty
Administrative Law Basics,Scope of Administrative Law,"Explains how administrative law governs actions of government authorities, public officials, and regulatory bodies","What is administrative law in India?;How does government make administrative decisions?;What controls government power?;Difference between administrative and constitutional law?","administrative law meaning India;government decision law India;public administration legal control India;executive power regulation India;administrative authority rules India",Administrative Law,Public Administration,Definition
Principles of Natural Justice,Right to Fair Hearing,Ensures no person is penalized without being heard by authority,"Can government punish without hearing me?;What is natural justice principle?;Is fair hearing required in government decisions?;Can administrative order be challenged?","natural justice India law;right to fair hearing government India;due process administrative India;audi alteram partem meaning India;fair decision rule India",Administrative Law,Justice Principles,Right
Principles of Natural Justice,Nemo Judex Rule,Prevents bias in administrative decision-making,"Can biased officer take decision against me?;What is conflict of interest in government decisions?;Can same officer judge his own case?;Bias in administrative law meaning","bias in administrative decision India;nemo judex rule India meaning;conflict of interest government law India;fair administrative process India;unbiased decision requirement India",Administrative Law,Justice Principles,Restriction
Judicial Review,Judicial Review of Administrative Action,"Courts can review government decisions if they are illegal, arbitrary, or unconstitutional","Can court cancel government order?;What is judicial review in India?;Can I challenge administrative decision?;When can court interfere in government action?","judicial review India administrative law;challenge government order court India;illegal administrative action review India;court power against government India;public authority decision challenge India",Administrative Law,Judicial Control,Remedy
Delegated Legislation,Rule Making Power of Executive,Allows government departments to create rules under powers given by legislature,"Can government make its own laws?;What is delegated legislation India?;Who makes rules under Act?;Is rule making by ministry legal?","delegated legislation India meaning;executive rule making power India;subordinate legislation India law;government regulation making authority India;administrative rules India",Administrative Law,Regulation Making,Compliance
Administrative Discretion,Scope of Government Discretion,Defines limits within which government can make decisions using discretion,"Can government act arbitrarily?;What is administrative discretion India?;Are government decisions always reviewable?;Limits on executive discretion India","administrative discretion India law;government decision freedom limits India;arbitrary action government India;executive power boundaries India;policy discretion legal control India",Administrative Law,Executive Power,Restriction
Tribunals Act 1985,Role of Tribunals,Establishes tribunals for faster dispute resolution outside regular courts,"What is tribunal in India?;Difference between court and tribunal?;Why are tribunals created?;Can tribunal decision be appealed?","tribunal system India law;quasi judicial bodies India;administrative tribunal meaning India;fast dispute resolution India law;special courts tribunal India",Administrative Law,Dispute Resolution,Definition
Central Administrative Tribunal (CAT),Service Disputes Resolution,Deals with disputes of government employees regarding service matters,"How to file case against government job issue?;What is CAT India?;Can government employee challenge transfer?;Service dispute tribunal India","central administrative tribunal India CAT;government employee dispute India law;service matters tribunal India;job transfer challenge government India;public service dispute law",Administrative Law,Employment Governance,Remedy
Writ Jurisdiction,Article 226 Power of High Courts,Allows High Courts to issue writs against government authorities for violation of rights,"Can I file case against government officer?;What is writ petition India?;How to challenge government decision in High Court?;Types of writs in India","writ petition India administrative law;high court writ power India government;mandamus certiorari habeas corpus India;challenge state action India law;public authority writ remedy India",Administrative Law,Judicial Remedy,Right
Maladministration,Failure of Public Administration,"Covers inefficient, corrupt, or unfair administrative functioning","What is maladministration?;Can I complain about government officer?;What if government delays my work?;Corruption in administration complaint India","maladministration meaning India;government inefficiency complaint India;public service delay legal remedy India;administrative corruption law India;bureaucratic delay complaint India",Administrative Law,Public Accountability,Complaint
Ombudsman System,Grievance Redressal Mechanism,Provides mechanism to investigate complaints against government officials,"Where to complain against government officer?;What is ombudsman India?;How to report corruption in public office?;Government grievance system India","ombudsman India grievance system;anti corruption complaint authority India;public complaint redressal India government;citizen complaint mechanism India;administrative accountability system India",Administrative Law,Accountability,Remedy
International Law Basics,Meaning of International Law,Defines rules governing relations between countries and international organizations,"What is international law?;How do countries follow international rules?;Is international law binding on India?;Difference between domestic and international law?","international law meaning India;global legal system rules India;state relations law definition;public international law basics India;international legal framework India",International Law,Global Relations,Definition
Treaties Basics,Meaning of Treaty,Defines treaties as formal agreements between two or more countries under international law,"What is a treaty between countries?;Are treaties legally binding?;How does India sign international agreements?;Difference between treaty and agreement?","international treaty meaning India;bilateral agreement law India;multilateral treaty definition India;state agreement binding law India;foreign relations treaty basics",International Law,Treaties,Definition
Treaty Enforcement,Binding Nature of Treaties,Explains when treaties become enforceable and how countries are obligated to follow them,"Can India ignore international treaty?;Are UN treaties binding?;What happens if country violates treaty?;How are treaties enforced internationally?","treaty enforcement India law;binding international agreements India;violation of treaty consequences;UN treaty compliance India;state obligation international law",International Law,Treaties,Compliance
Trade Agreements,Free Trade Agreements (FTA),Covers agreements between countries to reduce tariffs and promote trade,"What is free trade agreement India?;How does India benefit from FTAs?;What are trade agreements between countries?;Do FTAs reduce import tax?","FTA India meaning trade agreement;international trade law India;bilateral trade agreement India tariffs;import export treaty India;global trade policy India",International Law,Trade Law,Economic Regulation
World Trade Organization,Role of WTO,Explains WTO rules governing global trade and dispute settlement,"What is WTO and what does it do?;Is India part of WTO?;How trade disputes are solved internationally?;WTO rules for imports India","WTO India trade rules;world trade organization dispute settlement India;global trade regulations India WTO;import export law WTO India;international trade compliance India",International Law,Trade Regulation,Compliance
Human Rights Treaties,Universal Declaration of Human Rights,Defines global human rights standards adopted by UN member states,"What is human rights declaration?;Does India follow UN human rights rules?;What rights are in UDHR?;Can human rights be enforced internationally?","UDHR meaning India human rights;UN human rights convention India;global rights framework India law;international human rights standards India;basic rights UN declaration",International Law,Human Rights,Definition
Human Rights Conventions,International Covenant on Civil and Political Rights,"Protects civil and political rights like speech, liberty, and fair trial","What is ICCPR treaty?;Does India follow civil rights convention?;Are human rights treaties enforceable in India?;Freedom of speech international law India","ICCPR India human rights treaty;civil political rights UN convention India;international liberty rights India law;global human rights enforcement India;freedom rights international treaty India",International Law,Human Rights,Rights
Human Rights Enforcement,Violation of Human Rights Treaties,Explains consequences when countries fail to comply with human rights obligations,"What happens if country violates human rights treaty?;Can UN punish countries?;How are human rights violations reported?;International human rights enforcement India","human rights violation international law;UN human rights enforcement mechanism;global rights complaint system India;international accountability human rights;state responsibility human rights breach",International Law,Human Rights,Violation
Diplomatic Law,Embassy and Diplomatic Immunity,Defines protection given to diplomats and foreign missions,"Can embassy staff be arrested?;What is diplomatic immunity?;Are foreign diplomats protected from law?;Why embassies are not searched?","diplomatic immunity India law;embassy protection international law;foreign diplomat legal immunity India;Vienna convention diplomatic rules India;consular law India international relations",International Law,Diplomatic Relations,Protection
Extradition Law,Extradition Treaties,Explains surrender of criminals between countries under treaty obligations,"Can India send criminals abroad?;What is extradition treaty?;How does extradition work between countries?;Can fugitives be deported legally?","extradition treaty India law;international criminal transfer law India;cross border fugitive law India;foreign crime extradition process India;bilateral extradition agreement India",International Law,Criminal Cooperation,Procedure
Sanctions and International Compliance,Economic Sanctions,Explains restrictions imposed by countries or international bodies on trade or relations,"What are economic sanctions?;Can countries ban trade with others?;How do sanctions affect India?;International trade restrictions law","economic sanctions international law India;trade restrictions global law India;country ban import export law India;UN sanctions compliance India;global economic restriction rules",International Law,Global Policy,Restriction
CrPC Basics,Meaning of Criminal Procedure Code,"Defines how criminal cases are investigated, tried, and punished in India","What is CrPC in India?;How does criminal case process work?;What is criminal procedure law?;Difference between IPC and CrPC?","CrPC meaning India criminal procedure;criminal case process India law;procedure of criminal trial India;IPC vs CrPC difference India;criminal justice process India",Code of Criminal Procedure,Criminal Procedure,Definition
FIR Filing,First Information Report (FIR),Explains how criminal cases are officially registered with police,"How to file FIR in India?;Can police refuse FIR?;What is FIR process?;Is FIR required for every crime?","FIR filing process India law;police complaint registration India;first information report rules India;criminal complaint procedure India;FIR refusal legal remedy India",Code of Criminal Procedure,Police Procedure,Right
Arrest Procedure,Arrest without Warrant,Defines when police can arrest a person without court warrant,"Can police arrest without warrant?;What are rights during arrest?;When is arrest legal in India?;Police arrest rules CrPC","arrest without warrant India law;police arrest procedure India rights;criminal arrest rules India CrPC;legal arrest conditions India;rights of arrested person India",Code of Criminal Procedure,Police Powers,Right
Bail Law,Bail and Anticipatory Bail,Explains release of accused before or after arrest under court conditions,"How to get bail in India?;What is anticipatory bail?;Can bail be denied?;Difference between bail and jail?","bail process India law;anticipatory bail CrPC India;pre arrest bail rules India;court bail conditions India;criminal release procedure India",Code of Criminal Procedure,Judicial Relief,Remedy
Trial Procedure,Criminal Trial Process,Explains stages of criminal trial from charge to judgment,"How does criminal trial happen in India?;Steps of court case criminal India;What happens after FIR?;Stages of criminal case India","criminal trial stages India law;court procedure criminal case India;charge framing trial India;judgment process India court;criminal case hearing steps India",Code of Criminal Procedure,Judicial Process,Process
Charge Sheet,Police Charge Sheet,Defines formal accusation submitted after investigation,"What is charge sheet in India?;When is charge sheet filed?;Difference between FIR and charge sheet?;What happens after investigation?","charge sheet meaning India law;police investigation report India criminal;final report CrPC India;criminal accusation document India;case filing after FIR India",Code of Criminal Procedure,Investigation,Procedure
Evidence Procedure,Recording of Evidence,Explains how evidence is collected and presented in court,"How is evidence recorded in court?;What evidence is valid in India?;Can electronic evidence be used?;Court evidence procedure India","evidence law India CrPC;court evidence recording process India;electronic evidence admissibility India;witness statement procedure India;criminal proof rules India",Code of Criminal Procedure,Trial Evidence,Procedure
Civil Procedure Basics,Civil Procedure Code Overview,Defines how civil disputes like property and contracts are handled in court,"What is CPC in India?;How civil case is filed?;Difference between civil and criminal case?;Civil court procedure India","CPC meaning India civil procedure;civil case filing process India;property dispute court India procedure;civil litigation rules India;court process civil law India",Code of Civil Procedure,Civil Litigation,Definition
Suit Filing,Civil Suit Procedure,Explains how a civil case is initiated in court,"How to file civil case in India?;What is plaint in court?;Steps to start civil lawsuit?;Civil case filing procedure India","civil suit filing India law;plaint filing process India court;civil litigation steps India;court case initiation India civil law;legal notice civil case India",Code of Civil Procedure,Civil Litigation,Process
Summons Procedure,Court Summons,Explains legal notice issued by court to appear in case,"What is court summons?;What happens if I ignore summons?;How are summons delivered?;Civil court notice meaning India","court summons India law;civil notice legal process India;court appearance order India;legal notice response India procedure;service of summons India",Code of Civil Procedure,Court Process,Procedure
Execution of Decree,Judgment Enforcement,Explains how court orders are enforced after judgment,"How is court judgment executed?;What if defendant does not obey court order?;Can court force payment?;Execution of decree process India","judgment execution India law;court order enforcement India civil;decree enforcement procedure India;legal recovery process India court;civil judgment implementation India",Code of Civil Procedure,Judgment Enforcement,Remedy
Appeals Procedure,Right to Appeal,Explains process of challenging court judgment in higher courts,"How to appeal court decision in India?;Can I challenge judgment?;What is appeal process civil case?;Higher court appeal rules India","appeal process India court law;judgment challenge procedure India;higher court civil appeal India;legal appeal rights India CPC;court decision review India",Code of Civil Procedure,Judicial Review,Remedy
Right to Information Act 2005 Section 2,Definitions,"Defines key terms like public authority, information, and RTI applicant under the Act","What is RTI in India?;Who can file RTI?;What information can I request from government?;Meaning of public authority under RTI","RTI meaning India law;right to information definition India;public authority RTI Act India;information request government India;basic RTI rules India",Right to Information Act,Transparency Law,Definition
RTI Application Process,How to File RTI Application,Explains step-by-step process of filing RTI request to government departments,"How to file RTI online?;Where to submit RTI application?;What is RTI procedure India?;Can government refuse RTI request?","RTI filing process India online;how to apply RTI India government;RTI application steps India;information request procedure India;public data request India law",Right to Information Act,Transparency Law,Process
